date,horizon,target,actual,naive,arima,var,ridge,lasso,rf,xgb
2000-05-01,1,infl_yoy,3.1325301204819134,3.013863773357439,2.734181626683667,2.8399227718843063,2.916876924136708,2.968153069983112,3.1733693129613694,3.204441785812378
2000-05-01,1,unrate,4.0,3.8,3.804481988885104,3.8740787451559022,3.818238938763754,3.890728114680044,4.354267819272232,4.159955024719238
2000-05-01,3,infl_yoy,3.5992801439711952,3.013863773357439,2.7169322648195924,2.6857879051654616,2.5029312465083278,2.8543434010765343,3.087493468227253,3.1768274307250977
2000-05-01,3,unrate,4.0,3.8,3.725518670049989,3.847571822557271,3.9228729775687303,3.9756595586147583,4.168706688860674,4.12055253982544
2000-05-01,6,infl_yoy,3.450327186198688,3.013863773357439,2.73053660474487,2.537984177507651,2.3596866903775253,2.770735210456356,3.221963355174956,3.245625734329224
2000-05-01,6,unrate,3.9,3.8,3.607390513577927,3.8057221248440416,3.8761173083807208,3.969578284181351,4.20189844518227,4.124800205230713
2000-06-01,1,infl_yoy,3.7349397590361377,3.1325301204819134,3.0729586468526686,3.0561199932921057,3.0824071851392256,3.597638485729207,3.273666453223812,3.242478847503662
2000-06-01,1,unrate,4.0,4.0,3.906210050968936,3.950706573035729,3.6704633778968807,3.9827965593805073,4.2086829547086895,4.161818504333496
2000-06-01,3,infl_yoy,3.3512866546977715,3.1325301204819134,2.970872792366716,2.9134347935795217,2.258864637066501,3.1994116992693216,3.102168438764135,3.301015615463257
2000-06-01,3,unrate,4.1,4.0,3.8312187465011016,3.967500176564726,3.897677817151364,3.9856614931295113,4.117547611203726,4.222994327545166
2000-06-01,6,infl_yoy,3.444180522565321,3.1325301204819134,2.8525091899324537,2.751561875929469,2.270986000050442,2.805678469020925,3.314609872040878,3.2529451847076416
2000-06-01,6,unrate,3.9,4.0,3.718769809483042,3.961813097852037,3.729676142552904,4.03849897662187,4.087201304895655,4.112278461456299
2000-07-01,1,infl_yoy,3.5992801439711952,3.7349397590361377,3.5113996606681974,3.5795204414715163,3.07649914363896,3.42958436728169,3.152497472483111,3.208092451095581
2000-07-01,1,unrate,4.0,4.0,3.936430498134008,3.952447329314419,3.88919092187226,4.046772618978091,4.150696061540797,4.345937728881836
2000-07-01,3,infl_yoy,3.45649582836709,3.7349397590361377,3.3523356636549995,3.4042574009323534,2.479822478155932,3.029133624836855,3.232967648788983,3.366781949996948
2000-07-01,3,unrate,3.9,4.0,3.86351130041056,4.015164122956696,3.7058353546587,3.979254462111883,4.07724357031857,4.123775482177734
2000-07-01,6,infl_yoy,3.4360189573459543,3.7349397590361377,3.182157826054424,3.156681546765401,3.499072182231842,3.6058530097049935,3.257000371296251,3.215648889541626
