date,horizon,target,actual,naive,arima,var
2015-06-01,1,unrate,5.3,5.6,5.543456703417803,5.6116554021538985
2015-06-01,3,infl_yoy,0.2413037985344868,0.0350332182442958,0.8473506608566246,1.1952261954569747
2015-06-01,3,unrate,5.1,5.6,5.527042629829651,5.48638848317474
2015-06-01,6,infl_yoy,0.4363182169185187,0.0350332182442958,1.393870706749171,1.7414198760785644
2015-06-01,6,unrate,5.1,5.6,5.51538465120756,5.3405968571288485
2015-07-01,1,infl_yoy,0.2256861110409458,0.1795718097550525,0.40046281895446134,0.4565686724944744
2015-07-01,1,unrate,5.2,5.3,5.305354961963096,5.229051597539792
2015-07-01,3,infl_yoy,0.00884296163417,0.1795718097550525,0.8843379271410323,1.0920183477422951
2015-07-01,3,unrate,5.0,5.3,5.230807454702647,5.054151930428105
2015-07-01,6,infl_yoy,0.6387247515364791,0.1795718097550525,1.4082858921727777,1.9099040530846358
2015-07-01,6,unrate,5.0,5.3,5.148541035287086,4.733925769514321
2015-08-01,1,infl_yoy,0.2413037985344868,0.2256861110409458,0.3977303206849515,0.4330818787970717
2015-08-01,1,unrate,5.1,5.2,5.161895577518316,5.117316467106969
2015-08-01,3,infl_yoy,0.127616560670507,0.2256861110409458,0.869413538822492,1.1028590342020677
2015-08-01,3,unrate,5.0,5.2,5.080333208733412,4.959170852324977
2015-08-01,6,infl_yoy,1.2375025026943876,0.2256861110409458,1.389074194213255,1.9308531294479225
2015-08-01,6,unrate,4.8,5.2,5.003128030418672,4.596648719492302
2015-09-01,1,infl_yoy,0.00884296163417,0.2413037985344868,0.4122537859598039,0.5108043520090155
2015-09-01,1,unrate,5.0,5.1,5.0526421977641895,5.015971136867067
2015-09-01,3,infl_yoy,0.4363182169185187,0.2413037985344868,0.8752031817659265,1.2083812615167417
2015-09-01,3,unrate,5.1,5.1,4.948131088721803,4.793115387701966
2015-09-01,6,infl_yoy,0.8472775790126619,0.2413037985344868,1.3849692567711842,1.9763622203217284
2015-09-01,6,unrate,4.9,5.1,4.830887222768438,4.466073842921439
2015-10-01,1,infl_yoy,0.127616560670507,0.00884296163417,0.06529788000562883,0.1316573262374212
2015-10-01,1,unrate,5.0,5.0,4.947599316248043,4.944367427002851
2015-10-01,3,infl_yoy,0.6387247515364791,0.00884296163417,0.5668927684679546,0.9178273840717346
2015-10-01,3,unrate,5.0,5.0,4.83940621027755,4.6958846862268
2015-10-01,6,infl_yoy,0.8916160965521946,0.00884296163417,1.1618443632677926,1.7449074872590375
2015-10-01,6,unrate,5.0,5.0,4.719294251798305,4.374815475411839
2015-11-01,1,infl_yoy,0.4363182169185187,0.127616560670507,0.3961596908263728,0.5345464201806301
2015-11-01,1,unrate,5.1,5.0,4.942123719009558,4.845117432352582
2015-11-01,3,infl_yoy,1.2375025026943876,0.127616560670507,0.871537148494355,1.1823701099565538
2015-11-01,3,unrate,4.8,5.0,4.8616697538018405,4.655780975423363
2015-11-01,6,infl_yoy,1.1726257503534845,0.127616560670507,1.3647290290021064,1.9185727791844152
2015-11-01,6,unrate,5.1,5.0,4.779180177883321,4.347489020765776
2015-12-01,1,infl_yoy,0.6387247515364791,0.4363182169185187,0.7130764643588527,0.7966289608444244
2015-12-01,1,unrate,5.0,5.1,5.051310967004959,5.022130402166892
2015-12-01,3,infl_yoy,0.8472775790126619,0.4363182169185187,1.109722602933482,1.2826065400456008
2015-12-01,3,unrate,4.9,5.1,5.023531231537251,4.912354211229105
2015-12-01,6,infl_yoy,1.0784764621246223,0.4363182169185187,1.5225533422024817,1.7774271670828445
2015-12-01,6,unrate,4.8,5.1,5.006605394128349,4.718023426034642
2016-01-01,1,infl_yoy,1.2375025026943876,0.6387247515364791,0.8207620641444939,0.8288311546565913
2016-01-01,1,unrate,4.8,5.0,4.986423627764278,4.93894093297662
2016-01-01,3,infl_yoy,0.8916160965521946,0.6387247515364791,1.1750221615751641,1.3017482899847053
2016-01-01,3,unrate,5.0,5.0,4.951886041191757,4.83354197496693
2016-01-01,6,infl_yoy,1.0792865347959424,0.6387247515364791,1.5617874319452598,1.7947499757397976
2016-01-01,6,unrate,4.9,5.0,4.9279022841591384,4.626466844556372
2016-02-01,1,infl_yoy,0.8472775790126619,1.2375025026943876,1.6059067101821964,1.6394817901879066
2016-02-01,1,unrate,4.9,4.8,4.780261303664863,4.739043391005593
2016-02-01,3,infl_yoy,1.1726257503534845,1.2375025026943876,1.8314739940231752,1.9615556700333618
2016-02-01,3,unrate,5.1,4.8,4.699957445437514,4.564631063207635
2016-02-01,6,infl_yoy,0.8683633430518256,1.2375025026943876,2.002355046424698,2.386950944796448
2016-02-01,6,unrate,4.8,4.8,4.61651512898062,4.274483480641256
2016-03-01,1,infl_yoy,0.8916160965521946,0.8472775790126619,0.6941721920278311,0.7416344808583608
2016-03-01,1,unrate,5.0,4.9,4.852445733167065,4.846219936518446
2016-03-01,3,infl_yoy,1.0784764621246223,0.8472775790126619,0.9994418219235717,1.2250492197678196
2016-03-01,3,unrate,4.8,4.9,4.814659217234724,4.738656273051328
2016-03-01,6,infl_yoy,1.0553158595656864,0.8472775790126619,1.356084976773582,1.6863340765669754
2016-03-01,6,unrate,4.9,4.9,4.788345962670885,4.5568919414606865
2016-04-01,1,infl_yoy,1.1726257503534845,0.8916160965521946,1.1000186549338307,1.1550761322880905
2016-04-01,1,unrate,5.1,5.0,4.972309644562655,4.919813028282826
2016-04-01,3,infl_yoy,1.0792865347959424,0.8916160965521946,1.4112278297726046,1.5195220144247141
2016-04-01,3,unrate,4.9,5.0,4.9836895665319085,4.809138368295288
2016-04-01,6,infl_yoy,1.5486446201652182,0.8916160965521946,1.7108263753019135,1.867877455218792
2016-04-01,6,unrate,5.0,5.0,5.020261846817648,4.742142479229714
2016-05-01,1,infl_yoy,1.0784764621246223,1.1726257503534845,1.3830414538328057,1.4737817645095523
2016-05-01,1,unrate,4.8,5.1,5.097873607889033,5.085267516340163
2016-05-01,3,infl_yoy,0.8683633430518256,1.1726257503534845,1.6119266596255806,1.588778040248964
2016-05-01,3,unrate,4.8,5.1,5.1426574393890885,5.055241269630632
2016-05-01,6,infl_yoy,1.685924966243646,1.1726257503534845,1.844884660453066,1.8306683740281926
2016-05-01,6,unrate,4.9,5.1,5.220480867905503,5.0089296561188315
2016-06-01,1,infl_yoy,1.0792865347959424,1.0784764621246223,1.1158779399683525,0.9721732108240057
2016-06-01,1,unrate,4.9,4.8,4.839952285684272,4.740994256032249
