date,horizon,target,actual,ridge,lasso,rf,xgb
2014-07-01,1,unrate,6.2,5.984566484692141,6.114642247346944,6.17286281460198,6.105596542358398
2014-07-01,3,infl_yoy,1.6840509711232077,2.2347235310682607,2.0364954555399035,1.8300429202894788,1.702471375465393
2014-07-01,3,unrate,5.9,5.8197057661717615,5.9834081181572225,6.176245724515228,6.038949966430664
2014-07-01,6,infl_yoy,0.6531213919623191,2.3842878057700703,2.160276580392941,1.6444992126402729,1.5382975339889526
2014-07-01,6,unrate,5.6,5.624858259758388,5.787825424818668,5.905885833955022,5.785792827606201
2014-08-01,1,infl_yoy,1.7150983482969062,1.7259613941586935,1.7439347034706971,1.8542190461223849,1.811991572380066
2014-08-01,1,unrate,6.1,6.0052000382167785,6.050909667982937,6.151160706519147,6.148201942443848
2014-08-01,3,infl_yoy,1.6095417021513292,1.868899225031847,1.8767425844639287,1.7036704556400146,1.6269608736038208
2014-08-01,3,unrate,5.7,5.909748482179152,5.921567194057079,6.116973426798683,5.951585292816162
2014-08-01,6,infl_yoy,-0.2299309782054281,1.756115572011667,1.747969696065907,1.5063350186464133,1.29456627368927
2014-08-01,6,unrate,5.7,5.73846851830232,5.824051098432653,5.87286325404824,5.734518051147461
2014-09-01,1,infl_yoy,1.6840509711232077,1.5355225479127184,1.5726486809160307,1.672393177032176,1.478212594985962
2014-09-01,1,unrate,5.9,5.860085009190911,5.881189624954844,5.941978550578157,5.960961818695068
2014-09-01,3,infl_yoy,1.231524989320798,1.8290626196762407,1.7938660535576971,1.5861947253047821,1.3349038362503052
2014-09-01,3,unrate,5.8,5.719748913922775,5.759457012383321,5.986397990372377,5.857935428619385
2014-09-01,6,infl_yoy,-0.0870314629352053,1.456929255943142,1.3632833658714705,1.2548757043682246,0.6368952989578247
2014-09-01,6,unrate,5.5,5.529018692140871,5.583345752886794,5.805239612973106,5.6853461265563965
2014-10-01,1,infl_yoy,1.6095417021513292,1.464278670723484,1.4878546621274924,1.4320695144079558,1.3085196018218994
2014-10-01,1,unrate,5.7,5.701767982130382,5.682187371058005,5.7179971400151635,5.826038360595703
2014-10-01,3,infl_yoy,0.6531213919623191,1.4649752756897727,1.4759157601740782,1.5742173906866155,1.5853517055511475
2014-10-01,3,unrate,5.6,5.671194225599812,5.647991990510429,5.919259992201562,5.721616268157959
2014-10-01,6,infl_yoy,-0.0220312844238734,1.1509741566959846,1.0812868682300738,0.9423519254956727,0.32431459426879883
2014-10-01,6,unrate,5.4,5.522811721511333,5.450684954753855,5.734722605609156,5.642770290374756
2014-11-01,1,infl_yoy,1.231524989320798,0.9558242576000515,0.9551564302491564,1.3775214575167467,1.2490553855895996
2014-11-01,1,unrate,5.8,5.704663548429921,5.731537864264726,5.753188598393244,5.789170742034912
2014-11-01,3,infl_yoy,-0.2299309782054281,0.7096422791481041,0.7433621935282513,1.3643388154500418,0.9262053966522217
2014-11-01,3,unrate,5.7,5.6349006847621546,5.643860928082043,5.873684201543812,5.7099690437316895
2014-11-01,6,infl_yoy,-0.1040309893939106,0.42966508253822955,0.5412039293658817,0.7270396853283728,0.25539854168891907
2014-11-01,6,unrate,5.4,5.387038112487142,5.398660801343247,5.6722417230797975,5.458711624145508
2014-12-01,1,infl_yoy,0.6531213919623191,0.28409011951200336,0.34715894408872616,1.3355368256029854,1.193856954574585
2014-12-01,1,unrate,5.6,5.641109053272871,5.606584589930841,5.603636616471642,5.660245418548584
2014-12-01,3,infl_yoy,-0.0870314629352053,-0.06575941779278915,0.07644307111892523,1.0839500457506641,0.42586925625801086
2014-12-01,3,unrate,5.5,5.467408421607433,5.473222598848065,5.6512790335914085,5.533384799957275
2014-12-01,6,infl_yoy,0.0350332182442958,-0.19217132103750778,-0.1285171321996792,0.4677384458950331,0.1650947481393814
2014-12-01,6,unrate,5.6,5.29736584327353,5.230131032843486,5.599376180196156,5.446661472320557
2015-01-01,1,infl_yoy,-0.2299309782054281,-0.5852619508386283,-0.5225821210005686,0.7645034841283508,0.50718092918396
2015-01-01,1,unrate,5.7,5.628289308495094,5.649033575968435,5.672137241299736,5.691030502319336
2015-01-01,3,infl_yoy,-0.0220312844238734,-0.6689528415650168,-0.5560172174816578,0.8324617163090768,0.5544813275337219
2015-01-01,3,unrate,5.4,5.513733821476622,5.554616172680013,5.664730670501428,5.468177318572998
2015-01-01,6,infl_yoy,0.1795718097550525,-0.5607630787656803,-0.45069347794168424,0.34571293780037954,0.03819744288921356
2015-01-01,6,unrate,5.3,5.3044541172263715,5.321715200967337,5.515980440843234,5.353419780731201
2015-02-01,1,infl_yoy,-0.0870314629352053,0.020951518385916135,0.028416630310126312,0.56666299929067,0.48794934153556824
2015-02-01,1,unrate,5.5,5.499799946908508,5.50533861076467,5.497162887467003,5.545407772064209
2015-02-01,3,infl_yoy,-0.1040309893939106,-0.197391083860317,-0.14698826438858514,0.460299468810232,0.3081871271133423
2015-02-01,3,unrate,5.4,5.4310256274516915,5.440833678140412,5.454610792309658,5.375494480133057
2015-02-01,6,infl_yoy,0.2256861110409458,-0.1889332454150181,-0.1501997150281933,0.1746592068320051,0.2649514377117157
2015-02-01,6,unrate,5.2,5.103679353719416,5.083008477834461,5.400090889314344,5.201254367828369
2015-03-01,1,infl_yoy,-0.0220312844238734,-0.27087282410692515,-0.25437168596278603,0.33837149071121736,0.1465221643447876
2015-03-01,1,unrate,5.4,5.374839800375262,5.370583392535981,5.461051770116422,5.426514625549316
2015-03-01,3,infl_yoy,0.0350332182442958,-0.45518038739666844,-0.388147848649707,0.46169582612434296,0.1496662050485611
2015-03-01,3,unrate,5.6,5.45132072279877,5.424920869584055,5.438960480248198,5.418059825897217
2015-03-01,6,infl_yoy,0.2413037985344868,-0.35556398637978903,-0.27829571057915237,0.3076591711685344,0.5450610518455505
2015-03-01,6,unrate,5.1,5.08328766862098,5.041309469643401,5.29472125830903,5.089706897735596
2015-04-01,1,infl_yoy,-0.1040309893939106,0.09804491246134894,0.1938592844964857,0.16952804651262723,0.10964353382587433
2015-04-01,1,unrate,5.4,5.354681293808099,5.356502412802302,5.413016275039118,5.394764423370361
2015-04-01,3,infl_yoy,0.1795718097550525,0.6821614938186977,0.6056105953010342,0.4105212370633482,0.5499383211135864
2015-04-01,3,unrate,5.3,5.371013103328241,5.304702486179185,5.400796286170945,5.362792491912842
2015-04-01,6,infl_yoy,0.00884296163417,0.7365777561695284,0.7214674140285737,0.2680808465844328,0.48454076051712036
2015-04-01,6,unrate,5.0,4.851182213961353,4.807308402349604,5.181684680743519,5.034527778625488
2015-05-01,1,infl_yoy,0.0350332182442958,0.35690090850167566,0.0344989402666287,0.1520798153396592,0.14316518604755402
2015-05-01,1,unrate,5.6,5.477193332024571,5.504142993765046,5.555296516580968,5.53251314163208
2015-05-01,3,infl_yoy,0.2256861110409458,0.733695413388759,0.48454742198753276,0.49822443417594486,0.3586856722831726
2015-05-01,3,unrate,5.2,5.086998909726531,5.241663936991,5.490500857385741,5.383244514465332
2015-05-01,6,infl_yoy,0.127616560670507,1.1512150997349004,1.069414372446374,0.2641135212566362,0.35565483570098877
2015-05-01,6,unrate,5.0,4.920762508032494,5.0292288381499475,5.406614720086349,5.27616548538208
2015-06-01,1,infl_yoy,0.1795718097550525,0.2933264753773024,0.22221284428940047,0.12958556464128929,0.37223365902900696
2015-06-01,1,unrate,5.3,5.289936692180158,5.25431104981238,5.468294217826067,5.4494781494140625
2015-06-01,3,infl_yoy,0.2413037985344868,0.3950949440002056,0.425504637748243,0.43918177752066684,0.49071794748306274
2015-06-01,3,unrate,5.1,5.109755030394596,5.104836015902595,5.410949244271276,5.320894241333008
2015-06-01,6,infl_yoy,0.4363182169185187,1.5746525467632975,1.4284491910253756,0.27021126853478833,0.4603522717952728
2015-06-01,6,unrate,5.1,4.909771418634483,4.922402413717245,5.300844900408061,5.131036281585693
2015-07-01,1,infl_yoy,0.2256861110409458,-0.1596623280187499,-0.14254473969390125,0.12606668587399883,0.2277068793773651
2015-07-01,1,unrate,5.2,5.095853495751793,5.118225578853493,5.30292891671782,5.217566013336182
2015-07-01,3,infl_yoy,0.00884296163417,0.10514919712002069,0.10099228441066499,0.3924882619744159,0.4146227538585663
2015-07-01,3,unrate,5.0,5.093762421297319,5.01861548803749,5.259145751428142,5.093265056610107
2015-07-01,6,infl_yoy,0.6387247515364791,1.06151286027207,0.9915782778282265,0.29672270423298225,0.5961610674858093
2015-07-01,6,unrate,5.0,4.90528770532474,4.849425080364534,5.201891418497288,5.08676290512085
2015-08-01,1,infl_yoy,0.2413037985344868,0.46008241291263263,0.4813865712344716,0.24192611013560722,0.48102492094039917
2015-08-01,1,unrate,5.1,5.219379583054302,5.111734877237762,5.064791656487231,5.03096342086792
2015-08-01,3,infl_yoy,0.127616560670507,0.9000671372058986,0.8974908490272544,0.4469722727877039,0.34728068113327026
2015-08-01,3,unrate,5.0,5.150474847006164,5.036881290842343,5.183996324051068,5.100014686584473
2015-08-01,6,infl_yoy,1.2375025026943876,1.323950014788318,1.3358466279599956,0.5359138109705037,0.9198914766311646
2015-08-01,6,unrate,4.8,4.909076320985937,4.8234315429355235,5.1413061474083035,4.970511436462402
2015-09-01,1,infl_yoy,0.00884296163417,0.23188653731965259,0.08972163717512682,0.16787319635865663,0.2502044439315796
2015-09-01,1,unrate,5.0,5.053960107609368,5.012183059704157,5.049472045186323,4.985138416290283
2015-09-01,3,infl_yoy,0.4363182169185187,0.8178588531286182,0.7543906491792784,0.4316124701567486,0.2909233272075653
2015-09-01,3,unrate,5.1,4.860168358646371,4.882733365408366,5.138821948922598,5.006065845489502
2015-09-01,6,infl_yoy,0.8472775790126619,1.4466761021118657,1.2969207906195965,0.6824570905526471,0.7208718657493591
2015-09-01,6,unrate,4.9,4.782458176332712,4.748831262161589,5.141692071414379,4.930527210235596
2015-10-01,1,infl_yoy,0.127616560670507,0.5267466672955539,0.4564350245072393,0.1636305538613817,0.21547384560108185
2015-10-01,1,unrate,5.0,5.0164181457612,4.978629956242337,5.02725250177711,5.013465404510498
2015-10-01,3,infl_yoy,0.6387247515364791,0.7157207977602404,0.6921283904140232,1.00972080374022,1.0744006633758545
2015-10-01,3,unrate,5.0,4.892456776647684,4.8748336102605805,5.09489877101099,5.069568634033203
2015-10-01,6,infl_yoy,0.8916160965521946,1.6874209867190189,1.5957935007390276,0.6496012295268724,0.865709125995636
2015-10-01,6,unrate,5.0,4.673111054910177,4.6690345749781486,5.135523226462138,4.827626705169678
2015-11-01,1,infl_yoy,0.4363182169185187,0.4576720161095069,0.33957803024594035,0.17445249239297986,0.19570183753967285
2015-11-01,1,unrate,5.1,4.916287130473307,5.01298765601781,5.040396419469971,4.993729114532471
2015-11-01,3,infl_yoy,1.2375025026943876,0.05421017380030824,-0.012429399815090392,0.33455087865848226,0.44652503728866577
2015-11-01,3,unrate,4.8,4.9073870569052405,4.924427768257835,5.143198821840738,5.016887187957764
2015-11-01,6,infl_yoy,1.1726257503534845,0.2011002601020122,0.32604779441125387,0.6174812368024081,0.6247081756591797
2015-11-01,6,unrate,5.1,4.772398519454328,4.847401098219312,5.1371379879015775,4.894454002380371
2015-12-01,1,infl_yoy,0.6387247515364791,0.347404161803305,0.468461690854838,0.34897297700662044,0.3817698061466217
2015-12-01,1,unrate,5.0,4.934552962365966,4.971128942920366,5.048335254123978,5.007761001586914
2015-12-01,3,infl_yoy,0.8472775790126619,0.19228511803399506,0.20959911043665436,0.3759977775991888,0.5293915867805481
2015-12-01,3,unrate,4.9,4.921763557587729,4.884846311912291,5.090327236488511,4.956592082977295
2015-12-01,6,infl_yoy,1.0784764621246223,-0.042566289561984494,0.20878803486585484,0.8064093975736749,0.8731909394264221
2015-12-01,6,unrate,4.8,4.8475235438298,4.816451340194414,5.069530600216522,4.860724449157715
2016-01-01,1,infl_yoy,1.2375025026943876,1.1786077434047444,1.1037462493345387,1.3357148210034393,1.1275478601455688
2016-01-01,1,unrate,4.8,4.843740973368843,4.823636799975519,4.9524451177643,4.967696189880371
2016-01-01,3,infl_yoy,0.8916160965521946,0.5996702080931833,0.6139064532061829,0.8161335896324118,1.0390911102294922
2016-01-01,3,unrate,5.0,4.897182593403395,4.806509737457988,4.974617371688969,4.945359230041504
2016-01-01,6,infl_yoy,1.0792865347959424,-0.31160647774573524,-0.15324181316875318,0.9682442799384687,0.9626543521881104
2016-01-01,6,unrate,4.9,4.6849043722664705,4.56075735029415,5.032884914985282,4.838079929351807
2016-02-01,1,infl_yoy,0.8472775790126619,0.6278692120396803,0.7497422780667722,0.8240013283869284,0.7551225423812866
2016-02-01,1,unrate,4.9,4.919711121212872,4.888207662832805,4.982264613609193,4.908967971801758
2016-02-01,3,infl_yoy,1.1726257503534845,0.646480119124379,0.679139166353079,1.27609010788444,1.3995790481567383
2016-02-01,3,unrate,5.1,4.914681338296253,4.8589083696545385,5.05840797992847,4.961841106414795
2016-02-01,6,infl_yoy,0.8683633430518256,0.42753153955864454,0.5757052501407183,1.1267714572956211,1.0164766311645508
2016-02-01,6,unrate,4.8,4.726628741569469,4.665395226645441,4.966027398032098,4.825069904327393
2016-03-01,1,infl_yoy,0.8916160965521946,1.170806313218337,1.0574853489242793,0.9939268575584738,1.3452277183532715
2016-03-01,1,unrate,5.0,4.907901292462854,4.951370245092686,5.004583856305742,4.984346389770508
2016-03-01,3,infl_yoy,1.0784764621246223,0.7204039215812925,0.7388920745862986,1.2253126705591806,1.0632284879684448
